Name,Link,Paper (if exists),Genre,Region,Texture,Musical Focus,Utility,Usability,Representation,Has Audio?,Comments,Labels & Metadata,Instruments,Suitable Tasks
200DrumMachines,http://www.hexawe.net/mess/200.Drum.Machines,,"Rock, Pop",,,Rhythm,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval",,Compressed,yes,,"Audio samples, 7371 one-shots; Musical Focus: Rhythm","Drums (implied by ""DrumMachines"" and ""one-shots"")","Monomodal Embeddings, Unsupervised pretraining, Classification & Segmentation, Recommendation & Retrieval, Drum sound classification, Drum pattern recognition, Synthetic drum track generation"
AAM,https://zenodo.org/record/5794629,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-023-00278-7,"Pop, Electronic, Classical, Rock","American, European, Central Asian, East Asian",,"Melody, Rhythm, Harmony","Classification & Segmentation, Monomdal Embeddings , Unsupervised pretraining, Transcription & Generation",Open Access,Waveform,yes,,"Onsets, pitches, instruments, melody instrument, keys, chords, tempo, beats, segments (all precise, from algorithmic composition)",Multiple (artificial) tracks with real instrument samples; full mixes and single instrument tracks,"Music segmentation, instrument recognition, source separation, onset detection, key and chord recognition, tempo estimation"
AccoMontage2,https://github.com/billyblu2000/accomontage2,https://arxiv.org/abs/2209.00353,"RnB & Soul, Pop",,,"Melody, Harmony, Rhythm","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Structured Format,no,,"Chord progressions with style labels ('pop_standard', 'pop_complex', 'dark', 'r&b', 'unknown'), mode ('M', 'm'), tonic (C, Db,..., B); Quantized note matrices ([start, end, pitch, velocity]), root labels; Length labels (4 or 8 bars)","Piano (for accompaniment arrangement); Implies melody, chords, and accompaniment tracks","Full-length song harmonization, Accompaniment arrangement based on a lead melody, Chord progression generation, Style transfer"
ACM_MIRUM,http://www.marsyas.info/tempo,,,,,,,,,yes,,Tempo,Not specified (general music),"Tempo induction/estimation, Tempo classification"
ADC2004,http://labrosa.ee.columbia.edu/projects/melody,http://www.ee.columbia.edu/~dpwe/pubs/ismir05-melody.pdf,"Jazz, Rock, Pop, RnB & Soul",,"Monophonic, Polyphonic","Melody, Vocals, Harmony","Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation, Transcription & Generation",,"Waveform, Structured Format",yes,,"Predominant pitch (ground-truth frequencies for pitched frames, MIDI note numbers); Musical Focus: Melody, Vocals, Harmony","Real recordings, synthesized voice, MIDI; Multi-track recordings (jazz, pop, R&B, rock); Separate vocal and instrumental tracks","Melody extraction (predominant melody extraction), Classification & Segmentation, Monomodal Embeddings, Unsupervised pretraining, Transcription & Generation"
AcousticBrainz-Genre,https://mtg.github.io/acousticbrainz-genre-dataset/,https://repositori-api.upf.edu/api/core/bitstreams/de1ed57c-4771-456a-8daa-c994f5c810ea/content,"Jazz, Rock, RnB & Soul, Hip-Hop, Country, Electronic, Pop, Classical, Folk, Easy Listening","American, European, East Asian, Latin American","Monophonic, Homophonic, Heterophonic, Polyphonic","Melody, Harmony, Rhythm, Vocals","Monomdal Embeddings , Classification & Segmentation, Recommendation & Retrieval, Transcription & Generation",Conditional Access,"Textual , Feature based",no,,"Multi-label, hierarchical genre annotations (genre and subgenre); Sourced from expert (AllMusic, Discogs) and crowds (Lastfm, Tagtraum); Audio features (low-level spectral, genre, mood, keys, scales)",Not specified (audio features for over 2 million songs imply diverse instrumentation),"Music genre recognition (MGR), Multi-label hierarchical classification, Development/validation of automatic annotation algorithms, Monomodal Embeddings, Classification & Segmentation, Recommendation & Retrieval, Transcription & Generation"
AED,https://data.vision.ee.ethz.ch/cvl/ae_dataset/,https://www.isca-archive.org/interspeech_2016/takahashi16b_interspeech.pdf,,,"Monophonic, Onomatopoetic",Melody,"Monomdal Embeddings , Unsupervised pretraining, Classification & Segmentation",Open Access,Waveform,yes,,"28 classes of acoustic event sounds (e.g., acoustic guitar, violin, vehicles, human, environmental, household); 5223 samples, 768.4 minutes; Harvested from Freesound (notes on noisiness)","Acoustic guitar, Violin (explicitly listed as event classes); Other sounds are non-musical","Acoustic Event Recognition/Classification (AER), Training/evaluating ML models for AER"
AIST-Dance-DB,https://aistdancedb.ongaaccel.jp,https://archives.ismir.net/ismir2019/paper/000060.pdf,"Pop, Hip-Hop, Jazz",American,,"Melody, Rhythm, Vocals, Harmony","Monomdal Embeddings , Unsupervised pretraining",Open Access,"Waveform, Compressed",yes,,"10 major street dance genres, basic dance moves, choreography type (intense, loose, hard, soft), dance situations (showcase, cypher, battle), dancer information, musical piece information (genre, tempi)",Dance music (60 original pieces); Focus on dance motions,"Dance-motion genre classification, Dancer identification, Dance-technique estimation, Structural analysis of choreographies, Dance-mood analysis, Classification of video categories, Recognition of dance motions from any direction, Dance-Motion Generation (choreography generation driven by music, generating motions for robots/CG dancers), Dance-Music Analysis (dance-music classification, multimodal analysis of dance-music correlation), Dance-Music Generation"
Amg1608,https://amg1608.blogspot.ch,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7178058,Pop,"American, European",,"Melody, Harmony, Rhythm, Vocals","Classification & Segmentation, Monomdal Embeddings",Open Access,Feature based,no,,Valence & arousal (emotional annotations); 1608 30-second music clips annotated by 665 subjects for 46 topics; Dynamic affect labels of full-length musical pieces,Not specified (music clips imply diverse instrumentation),"Music emotion recognition (MER), VA emotion modeling, Music recommendation system, Music classification, Psychotherapy, Music visualization, Background music generation, Smart home applications"
"AMT-pilot, CASD",https://github.com/chordify/CASD,https://ismir2011.ismir.net/papers/OS8-1.pdf,"Jazz, Pop",American,,"Harmony, Melody, Rhythm, Vocals","Monomdal Embeddings , Unsupervised pretraining",Conditional Access,Feature based,yes,,"Chord labels (Harte et al. syntax); Reported difficulty (Likert scale) and annotation time per annotator; Structure by multiple annotators; Detailed chord, meter, phrase, musical structure transcriptions (time-aligned)",Not specified (focus on chord/structural annotations),"Advance research into annotator subjectivity and computational harmony, Audio-chord-recognition algorithms, Music transcription"
